time,dist,Acc_y_g,gps_speed_kmh,yaw_rate_deg_sec
16.9,178.690555555556,0.416183,39.79,19.595
17,179.818333333333,0.68887,40.6,34.139
17.1,180.959722222222,1.088319,41.09,37.306
17.2,182.114166666667,0.558667,41.56,48.829
17.3,183.272777777778,0.65865,41.71,54.736
17.4,184.437222222222,1.351681,41.92,40.695
17.5,185.604444444444,0.158529,42.02,17.054
17.6,186.779166666667,0.112996,42.29,7.66
17.7,187.950833333333,0.350087,42.18,-3.314
17.8,189.121944444444,-0.623987,42.16,-9.22
17.9,190.297222222222,-0.118846,42.31,-19.527
18,191.476111111111,-0.72792,42.44,-34.05
18.1,192.658333333333,-0.832057,42.56,-41.335
18.2,193.833055555556,-0.774345,42.29,-47.125
18.3,194.998333333333,-0.938818,41.95,-40.84
18.4,196.142222222222,-0.775899,41.18,-42.671
18.5,197.283611111111,-1.108795,41.09,-35.576
18.6,198.415277777778,-0.34702,40.74,-32.923
18.7,199.545555555555,-0.834248,40.69,-22.612
18.8,200.679722222222,-0.202701,40.83,-13.765
18.9,201.815277777778,0.323486,40.88,10.23
19,202.953055555555,1.08172,40.96,38.527
19.1,204.0975,0.623743,41.2,42.943
19.2,205.254166666667,1.094078,41.64,43.324
19.3,206.417222222222,1.150542,41.87,52.951
19.4,207.593611111111,0.950473,42.35,39.774
19.5,208.780277777778,0.900328,42.72,44.991
19.6,209.973611111111,0.509567,42.96,29.707
19.7,211.184166666667,0.561826,43.58,18.372
19.8,212.408055555555,-0.115432,44.06,-1.146
19.9,213.650833333333,0.044684,44.74,-6.985
20,214.906388888889,-0.543216,45.2,-17.772
20.1,216.171666666667,-0.247317,45.55,-15.854
20.2,217.456111111111,-0.515366,46.24,-17.447
20.3,218.765,-0.536183,47.12,-6.797
20.4,220.099166666667,-0.285562,48.03,-8.727
20.5,221.442222222222,-0.034712,48.35,-7.174
20.6,222.762222222222,-0.075429,47.52,-3.375
20.7,224.062222222222,0.079745,46.8,-0.069
20.8,225.316388888889,-0.075505,45.15,3.612
20.9,226.515,0.312326,43.15,18.441
21,227.653611111111,0.620914,40.99,26.079
21.1,228.735,0.355642,38.93,20.19
21.2,229.788333333333,0.342189,37.92,17.227
21.3,230.788888888889,0.098702,36.02,9.437
21.4,231.74,-0.222066,34.24,-20.739
21.5,232.631388888889,-0.681114,32.09,-44.666
21.6,233.465833333333,-0.915428,30.04,-65.249
21.7,234.262222222222,-0.65785,28.67,-72.5
21.8,235.05,-0.848262,28.36,-67.726
21.9,235.83,-1.266389,28.08,-83.598
22,236.603055555556,-0.857333,27.83,-82.004
22.1,237.381111111111,-1.118172,28.01,-84.744
22.2,238.146666666667,-1.278288,27.56,-95.332
22.3,238.893333333333,-1.125867,26.88,-91.004
22.4,239.612777777778,-1.068053,25.9,-85.801
22.5,240.311666666667,-1.024737,25.16,-88.9
22.6,240.995,-1.092539,24.6,-78.968
22.7,241.670833333333,-0.580926,24.33,-64.893
22.8,242.323888888889,-0.188687,23.51,-40.257
22.9,242.9725,-0.383074,23.35,-20.203
23,243.629166666667,0.545927,23.64,17.971
23.1,244.292777777778,0.719242,23.89,38.762
23.2,244.973333333333,0.659644,24.5,69.432
23.3,245.665833333333,1.082943,24.93,69.162
23.4,246.362222222222,1.068955,25.07,74.059
23.5,247.062222222222,0.871128,25.2,80.207
23.6,247.759166666667,0.941504,25.09,63.861
23.7,248.460833333333,0.098931,25.26,28.448
23.8,249.183611111111,-0.461298,26.02,-19.112
23.9,249.933888888889,-0.670004,27.01,-33.286
24,250.702777777778,-0.906102,27.68,-50.553
24.1,251.510555555555,-0.747744,29.08,-52.053
24.2,252.353333333333,-0.70797,30.34,-47.248
24.3,253.233055555555,-0.4999,31.67,-34.235
24.4,254.156944444444,-0.561026,33.26,-26.143
24.5,255.103333333333,-0.711944,34.07,-24.233
24.6,256.098055555556,-0.482217,35.81,-17.596
24.7,257.147222222222,-0.432938,37.77,-17.194
24.8,258.255833333333,-0.63818,39.91,-34.058
24.9,259.414444444444,-0.91265,41.71,-39.031
25,260.586388888889,-0.846657,42.19,-40.586
25.1,261.755555555555,-0.703281,42.09,-48.553
25.2,262.916944444444,-1.383801,41.81,-52.6
25.3,264.058333333333,-0.936933,41.09,-51.302
25.4,265.190555555555,-0.842478,40.76,-50.13
25.5,266.326388888889,-1.100565,40.89,-46.935
25.6,267.459166666667,-1.123752,40.78,-48.558
25.7,268.596944444444,-0.74489,40.96,-47.232
25.8,269.755277777778,-0.963075,41.7,-53.014
25.9,270.950277777778,-1.087494,43.02,-41.502
26,272.173888888889,-0.817585,44.05,-40.261
26.1,273.425277777778,-0.776791,45.05,-24.141
26.2,274.691944444444,-0.954285,45.6,-20.909
26.3,275.996944444444,-1.050905,46.98,-32.249
26.4,277.344166666667,-1.031234,48.5,-35.857
26.5,278.730555555555,-1.193389,49.91,-56.462
26.6,280.1425,-1.262389,50.83,-59.541
26.7,281.5675,-1.138454,51.3,-57.208
26.8,283.025555555556,-0.416759,52.49,-67.189
26.9,284.5225,-0.697879,53.89,-38.153
27,286.050277777778,-0.856594,55,-20.048
27.1,287.620833333333,-1.461515,56.54,7.099
27.2,289.225833333333,-0.134007,57.78,59.559
27.3,290.851388888889,-0.055146,58.52,22.539
27.4,292.528888888889,0.164007,60.39,-36.12
27.5,294.243888888889,-0.810883,61.74,-35.583
